stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
P.6660117,,"Torrassa",41.368223,2.115756,,1,,
1.118,118,"Santa Eulàlia",41.368816,2.128617,,0,P.6660118,1
E.11801,,"Pont de la Torrassa",41.368434,2.127757,,2,P.6660118,1
E.11811,,"Riera Blanca",41.369742,2.130231,,2,P.6660118,2
P.6660118,,"Santa Eulàlia",41.368816,2.128617,,1,,
1.119,119,"Mercat Nou",41.373003,2.133536,,0,P.6660119,1
E.11901,,"Riera de Tena",41.372529,2.133236,,2,P.6660119,1
P.6660119,,"Mercat Nou",41.373003,2.133536,,1,,
1.120,120,"Plaça de Sants",41.375353,2.138154,,0,P.6660120,2
1.517,517,"Plaça de Sants",41.375727,2.135159,,0,P.6660120,2
E.12001,,"Alcolea (escala mecànica)",41.375457,2.137077,,2,P.6660120,2
E.12002,,"Alcolea",41.375433,2.137426,,2,P.6660120,2
E.12003,,"Olzinelles",41.375293,2.137156,,2,P.6660120,2
E.12011,,"Cros",41.375271,2.13856,,2,P.6660120,2
E.12012,,"Riego",41.375412,2.138559,,2,P.6660120,2
E.51701,,"Plaça de Sants",41.37565,2.135071,,2,P.6660120,2
E.51702,,"Galileu",41.375514,2.135832,,2,P.6660120,2
P.6660120,,"Plaça de Sants",41.375727,2.135159,,1,,
1.121,121,"Hostafrancs",41.375254,2.143291,,0,P.6660121,1
E.12101,,"Consell de Cent / Mercat",41.375511,2.143709,,2,P.6660121,2
E.12111,,"Hostafrancs",41.375082,2.144252,,2,P.6660121,2
E.12121,,"Moianès",41.375197,2.142275,,2,P.6660121,2
E.12131,,"Consell de Cent",41.375398,2.143251,,2,P.6660121,1
P.6660121,,"Hostafrancs",41.375254,2.143291,,1,,
1.122,122,"Espanya",41.37551,2.149382,,0,P.6660122,2
1.321,321,"Espanya",41.375018,2.151555,,0,P.6660122,2
E.12201,,"Creu Coberta",41.375268,2.148291,,2,P.6660122,2
E.12202,,"Tarragona",41.375714,2.14921,,2,P.6660122,2
E.12211,,"Exposició / Paral·lel",41.374421,2.149817,,2,P.6660122,2
E.12212,,"Exposició / Gran Via",41.374245,2.149363,,2,P.6660122,2
E.32101,,"Avinguda Paral·lel",41.375239,2.150164,,2,P.6660122,2
E.32102,,"Exposició",41.374813,2.150045,,2,P.6660122,2
P.6660122,,"Espanya",41.375018,2.151555,,1,,
1.123,123,"Rocafort",41.379232,2.154562,,0,P.6660123,1
E.12301,,"Rocafort / Diputació",41.378993,2.153829,,2,P.6660123,1
E.12302,,"Rocafort / Sepúlveda",41.378583,2.154395,,2,P.6660123,2
E.12311,,"Calàbria / Diputació",41.379659,2.15481,,2,P.6660123,2
E.12312,,"Calàbria / Sepúlveda",41.379312,2.15537,,2,P.6660123,2
P.6660123,,"Rocafort",41.379232,2.154562,,1,,
1.124,124,"Urgell",41.382487,2.158891,,0,P.6660124,1
E.12401,,"Comte d'Urgell",41.38202,2.158228,,2,P.6660124,1
E.12411,,"Villarroel / Diputació",41.382995,2.159535,,2,P.6660124,2
E.12412,,"Villarroel / Sepúlveda",41.382729,2.159912,,2,P.6660124,2
P.6660124,,"Urgell",41.382487,2.158891,,1,,
1.125,125,"Universitat",41.385815,2.164284,,0,P.6660125,1
1.212,212,"Universitat",41.384768,2.163913,,0,P.6660125,1
E.12501,,"Ronda Universitat",41.385992,2.165253,,2,P.6660125,2
E.12502,,"Pelai",41.385735,2.164657,,2,P.6660125,2
E.21201,,"Plaça Universitat",41.385403,2.163703,,2,P.6660125,1
E.21211,,"Ronda Sant Antoni",41.384775,2.163796,,2,P.6660125,2
P.6660125,,"Universitat",41.384768,2.163913,,1,,
1.126,126,"Catalunya",41.387489,2.168995,,0,P.6660126,1
1.326,326,"Catalunya",41.386322,2.170092,,0,P.6660126,1
E.12601,,"Rambla Catalunya",41.387608,2.168318,,2,P.6660126,2
E.12602,,"Ronda Universitat",41.387166,2.168432,,2,P.6660126,1
E.12611,,"Passeig de Gràcia",41.388057,2.169645,,2,P.6660126,2
E.12612,,"Ronda Sant Pere",41.387791,2.170569,,2,P.6660126,2
E.12613,,"Centre Plaça",41.387515,2.169507,,2,P.6660126,2
E.32601,,"La Rambla",41.385401,2.17012,,2,P.6660126,2
E.32603,,"Pelai",41.385464,2.169531,,2,P.6660126,1
E.32604,,"Bergara",41.385756,2.169642,,2,P.6660126,2
P.6660126,,"Catalunya",41.386322,2.170092,,1,,
1.127,127,"Urquinaona",41.389636,2.174567,,0,P.6660127,2
1.424,424,"Urquinaona",41.387961,2.173445,,0,P.6660127,2
E.12701,,"Plaça Urquinaona",41.389358,2.173399,,2,P.6660127,2
E.12711,,"Trafalgar",41.389091,2.173829,,2,P.6660127,2
E.12721,,"Bruc",41.389928,2.174995,,2,P.6660127,2
E.42401,,"Plaça Urquinaona",41.388812,2.172765,,2,P.6660127,2
E.42411,,"Jonqueres",41.387605,2.174284,,2,P.6660127,2
P.6660127,,"Urquinaona",41.389636,2.174567,,1,,
1.128,128,"Arc de Triomf",41.392337,2.181165,,0,P.6660128,1
E.12801,,"Avda. Vilanova",41.391853,2.180571,,2,P.6660128,1
E.12811,,"Nàpols",41.392968,2.181915,,2,P.6660128,1
E.12812,,"Roger de Flor",41.392477,2.18133,,2,P.6660128,2
P.6660128,,"Arc de Triomf",41.392337,2.181165,,1,,
1.129,129,"Marina",41.394725,2.185801,,0,P.6660129,1
E.12901,,"Marina",41.395614,2.186638,,2,P.6660129,1
E.12902,,"Almogàvers",41.395211,2.187104,,2,P.6660129,2
P.6660129,,"Marina",41.394725,2.185801,,1,,
1.130,130,"Glòries",41.402277,2.187537,,0,P.6660130,1
E.13001,,"Plaça de les Glòries Catalanes",41.402828,2.187336,,2,P.6660130,2
E.13002,,"Badajoz",41.403007,2.188386,,2,P.6660130,2
E.13011,,"Avda. Meridiana",41.40198,2.187121,,2,P.6660130,1
P.6660130,,"Glòries",41.402277,2.187537,,1,,
1.131,131,"Clot",41.410163,2.187003,,0,P.6660131,2
1.218,218,"Clot",41.410358,2.186835,,0,P.6660131,1
E.13101,,"Aragó / Meridiana",41.409348,2.187208,,2,P.6660131,2
E.13111,,"València",41.410883,2.187423,,2,P.6660131,2
E.21801,,"Sibelius",41.410268,2.186169,,2,P.6660131,1
P.6660131,,"Clot",41.410358,2.186835,,1,,
1.132,132,"Navas",41.416187,2.187057,,0,P.6660132,1
E.13201,,"Navas de Tolosa",41.415512,2.187142,,2,P.6660132,1
E.13211,,"Biscaia",41.416877,2.187133,,2,P.6660132,2
P.6660132,,"Navas",41.416187,2.187057,,1,,
1.133,133,"La Sagrera",41.422369,2.186975,,0,P.6660133,1
1.526,526,"La Sagrera",41.421296,2.186582,,0,P.6660133,1
1.930,930,"La Sagrera",41.420494,2.186723,,0,P.6660133,1
E.13301,,"Meridiana | Hondures",41.421766,2.187118,,2,P.6660133,1
E.13302,,"Garcilaso",41.421827,2.186574,,2,P.6660133,1
E.13303,,"Hondures",41.421748,2.187447,,2,P.6660133,1
E.13311,,"Jardins d'Elx",41.423033,2.187442,,2,P.6660133,1
E.52611,,"Felip II",41.420411,2.186561,,2,P.6660133,1
P.6660133,,"La Sagrera",41.420494,2.186723,,1,,
1.134,134,"Fabra i Puig",41.429633,2.183661,,0,P.6660134,1
E.13401,,"Passeig Fabra i Puig",41.430478,2.183513,,2,P.6660134,2
E.13402,,"Sòcrates",41.431489,2.183275,,2,P.6660134,2
E.13403,,"Avinguda Meridiana",41.429985,2.183655,,2,P.6660134,2
E.13404,,"Renfe",41.430822,2.18334,,2,P.6660134,2
E.13411,,"Concepción Arenal",41.428965,2.184201,,2,P.6660134,1
P.6660134,,"Fabra i Puig",41.429633,2.183661,,1,,
1.135,135,"Sant Andreu",41.4366,2.191187,,0,P.6660135,1
E.13501,,"Plaça d'Orfila",41.435887,2.190874,,2,P.6660135,1
E.13511,,"Joan Torras",41.437454,2.191018,,2,P.6660135,2
P.6660135,,"Sant Andreu",41.4366,2.191187,,1,,
1.136,136,"Torras i Bages",41.443225,2.190671,,0,P.6660136,1
E.13601,,"Palomar / costat muntanya",41.442394,2.190663,,2,P.6660136,2
E.13602,,"Palomar / costat mar",41.442407,2.190929,,2,P.6660136,1
E.13611,,"Passeig Santa Coloma / costat muntanya",41.444081,2.190547,,2,P.6660136,2
E.13612,,"Passeig Santa Coloma / costat mar",41.444089,2.190811,,2,P.6660136,2
P.6660136,,"Torras i Bages",41.443225,2.190671,,1,,
1.137,137,"Trinitat Vella",41.448956,2.193837,,0,P.6660137,1
E.13701,,"Via Bàrcino",41.44869,2.193917,,2,P.6660137,2
E.13702,,"Parc de la Trinitat",41.448934,2.194063,,2,P.6660137,1
P.6660137,,"Trinitat Vella",41.448956,2.193837,,1,,
1.138,138,"Baró de Viver",41.449936,2.199563,,0,P.6660138,1
E.13801,,"Riu Besòs",41.449739,2.199824,,2,P.6660138,1
P.6660138,,"Baró de Viver",41.449936,2.199563,,1,,
1.139,139,"Santa Coloma",41.451067,2.207969,,0,P.6660139,1
E.13901,,"Plaça de la Vila",41.451222,2.208461,,2,P.6660139,1
E.13902,,"Llorenç Serra",41.451147,2.207837,,2,P.6660139,2
E.13903,,"Avinguda Santa Coloma",41.450964,2.207855,,2,P.6660139,2
P.6660139,,"Santa Coloma",41.451067,2.207969,,1,,
1.140,140,"Fondo",41.451583,2.218435,,0,P.6660140,1
1.942,942,"Fondo",41.451876,2.218485,,0,P.6660140,1
E.14001,,"Sicília",41.451496,2.217392,,2,P.6660140,2
E.14002,,"Mossèn Cinto Verdaguer",41.451499,2.218534,,2,P.6660140,1
P.6660140,,"Fondo",41.451876,2.218485,,1,,
1.210,210,"Paral·lel",41.375004,2.169117,,0,P.6660210,1
1.323,323,"Paral·lel",41.374892,2.169118,,0,P.6660210,1
1.9901,9901,"Paral·lel",41.373847,2.168853,,0,P.6660210,1
E.21001,,"Nou de la Rambla",41.375064,2.17039,,2,P.6660210,2
E.21002,,"Avinguda Paral·lel",41.374816,2.170248,,2,P.6660210,1
E.21011,,"Fontrodona",41.374827,2.167815,,2,P.6660210,2
E.21012,,"Ronda Sant Pau",41.375088,2.168133,,2,P.6660210,2
P.6660210,,"Paral·lel",41.373847,2.168853,,1,,
1.211,211,"Sant Antoni",41.379833,2.163241,,0,P.6660211,1
E.21101,,"Villarroel",41.380656,2.163245,,2,P.6660211,1
E.21111,,"Sant Antoni Abat",41.378989,2.163249,,2,P.6660211,2
E.21112,,"Urgell",41.378987,2.163017,,2,P.6660211,2
P.6660211,,"Sant Antoni",41.379833,2.163241,,1,,
1.213,213,"Passeig de Gràcia",41.389416,2.168243,,0,P.6660213,1
1.327,327,"Passeig de Gràcia",41.391603,2.165347,,0,P.6660213,1
1.425,425,"Passeig de Gràcia",41.390057,2.167846,,0,P.6660213,1
E.21301,,"Rbla. Catalunya",41.388924,2.167614,,2,P.6660213,1
E.21311,,"Pau Claris",41.389678,2.168787,,2,P.6660213,2
E.32701,,"Aragó / Pau Claris",41.392,2.165424,,2,P.6660213,1
E.32702,,"Aragó / Rambla Catalunya",41.391836,2.165009,,2,P.6660213,2
E.32711,,"Consell de Cent",41.391529,2.165493,,2,P.6660213,2
E.42501,,"Passeig de Gràcia / Gran Via",41.389767,2.167631,,2,P.6660213,2
P.6660213,,"Passeig de Gràcia",41.390057,2.167846,,1,,
1.214,214,"Tetuan",41.394887,2.175559,,0,P.6660214,1
E.21401,,"Diputació / Passeig de Sant Joan",41.394837,2.174781,,2,P.6660214,2
E.21402,,"Casp / Passeig de Sant Joan",41.394318,2.175429,,2,P.6660214,1
P.6660214,,"Tetuan",41.394887,2.175559,,1,,
1.215,215,"Monumental",41.400524,2.179462,,0,P.6660215,1
E.21501,,"Marina",41.400346,2.179443,,2,P.6660215,1
E.21502,,"Marina / Plaça de Toros",41.400488,2.179625,,2,P.6660215,2
P.6660215,,"Monumental",41.400524,2.179462,,1,,
1.216,216,"Sagrada Família",41.403985,2.175106,,0,P.6660216,1
1.523,523,"Sagrada Família",41.403835,2.173618,,0,P.6660216,1
E.21601,,"Mallorca - Marina",41.403871,2.175745,,2,P.6660216,1
E.52301,,"Provença / Avinguda Gaudí",41.404497,2.174222,,2,P.6660216,1
E.52311,,"Sardenya",41.40369,2.173068,,2,P.6660216,2
E.52312,,"Plaça de la Sagrada Família",41.403429,2.173408,,2,P.6660216,2
P.6660216,,"Sagrada Família",41.403835,2.173618,,1,,
1.217,217,"Encants",41.407236,2.1827,,0,P.6660217,1
E.21701,,"València / Mallorca",41.407065,2.182131,,2,P.6660217,2
E.21702,,"València / Aragó",41.406828,2.182467,,2,P.6660217,1
P.6660217,,"Encants",41.407236,2.1827,,1,,
1.219,219,"Bac de Roda",41.415162,2.195503,,0,P.6660219,1
E.21901,,"Fluvià",41.415717,2.196254,,2,P.6660219,1
E.21911,,"Bac de Roda",41.414843,2.195079,,2,P.6660219,2
P.6660219,,"Bac de Roda",41.415162,2.195503,,1,,
1.220,220,"Sant Martí",41.419064,2.200724,,0,P.6660220,1
E.22001,,"Agricultura",41.418519,2.199981,,2,P.6660220,1
E.22011,,"Cantàbria",41.419397,2.201155,,2,P.6660220,2
P.6660220,,"Sant Martí",41.419064,2.200724,,1,,
1.221,221,"La Pau",41.424033,2.205608,,0,P.6660221,1
1.413,413,"La Pau",41.423678,2.205194,,0,P.6660221,1
E.41301,,"Rambla Guipúscoa / Ca n'Oliva",41.423438,2.206082,,2,P.6660221,1
P.6660221,,"La Pau",41.424033,2.205608,,1,,
1.222,222,"Verneda",41.430004,2.209883,,0,P.6660222,1
E.22201,,"Santander",41.430179,2.209686,,2,P.6660222,1
E.22202,,"Ctra. Mataró",41.429943,2.210155,,2,P.6660222,2
P.6660222,,"Verneda",41.430004,2.209883,,1,,
1.223,223,"Artigues | Sant Adrià",41.433848,2.217772,,0,P.6660223,1
E.22301,,"Ctra. Santa Coloma",41.433605,2.216873,,2,P.6660223,1
E.22302,,"Avinguda Joan XXIII",41.433363,2.217288,,2,P.6660223,2
P.6660223,,"Artigues | Sant Adrià",41.433848,2.217772,,1,,
1.224,224,"Sant Roc",41.435831,2.228606,,0,P.6660224,1
E.22401,,"Plaça Sant Roc",41.43534,2.227756,,2,P.6660224,2
E.22402,,"Alfons XII",41.435141,2.228106,,2,P.6660224,1
P.6660224,,"Sant Roc",41.435831,2.228606,,1,,
1.225,225,"Gorg",41.440237,2.233441,,0,P.6660225,1
1.936,936,"Gorg",41.440443,2.233892,,0,P.6660225,1
E.22501,,"Avinguda Alfons XIII",41.44034,2.233353,,2,P.6660225,2
E.22502,,"Guifré",41.440143,2.233906,,2,P.6660225,1
E.93601,,"Antoni Bori",41.440055,2.234717,,2,P.6660225,1
P.6660225,,"Gorg",41.440443,2.233892,,1,,
1.226,226,"Pep Ventura",41.443905,2.237959,,0,P.6660226,1
E.22601,,"Avinguda Alfons XIII",41.444357,2.237835,,2,P.6660226,1
E.22602,,"Avinguda Marquès de Mont-roig",41.444449,2.238394,,2,P.6660226,2
E.22603,,"Plaça Països Catalans",41.444285,2.238598,,2,P.6660226,2
P.6660226,,"Pep Ventura",41.443905,2.237959,,1,,
1.227,227,"Badalona Pompeu Fabra",41.449054,2.244097,,0,P.6660227,1
E.22701,,"Avinguda Martí Pujol",41.449727,2.245194,,2,P.6660227,1
E.22711,,"La Creu",41.44889,2.244443,,2,P.6660227,1
P.6660227,,"Badalona Pompeu Fabra",41.449054,2.244097,,1,,
1.314,314,"Zona Universitària",41.384115,2.111179,,0,P.6660314,1
1.918,918,"Zona Universitària",41.383742,2.111621,,0,P.6660314,1
E.91801,,"Dr. Marañón",41.384033,2.111956,,2,P.6660314,1
E.31401,,"Avinguda Diagonal",41.384142,2.11152,,2,P.6660314,2
E.31402,,"Facultat d'Estudis Empresarials",41.384535,2.111656,,2,P.6660314,2
E.31403,,"Dr. Marañón / Diagonal",41.384221,2.111848,,2,P.6660314,2
E.31404,,"Parc Cervantes",41.384475,2.111419,,2,P.6660314,2
P.6660314,,"Zona Universitària",41.383742,2.111621,,1,,
1.315,315,"Palau Reial",41.38598,2.118538,,0,P.6660315,1
E.31501,,"Avda. Diagonal",41.385593,2.118081,,2,P.6660315,1
E.31503,,"Avda. Diagonal",41.38607,2.117721,,2,P.6660315,2
E.31504,,"Palau de Pedralbes",41.386128,2.117957,,2,P.6660315,2
P.6660315,,"Palau Reial",41.38598,2.118538,,1,,
1.316,316,"Maria Cristina",41.387816,2.125791,,0,P.6660316,1
E.31602,,"Av. Diagonal / Doctor Ferran",41.388232,2.126267,,2,P.6660316,2
E.31603,,"Gran Via Carles III",41.387787,2.126796,,2,P.6660316,1
E.31604,,"Capità Arenas",41.388294,2.126507,,2,P.6660316,2
P.6660316,,"Maria Cristina",41.387816,2.125791,,1,,
1.317,317,"Les Corts",41.38412,2.130871,,0,P.6660317,1
E.31701,,"Travessera de les Corts",41.383898,2.130616,,2,P.6660317,1
E.31702,,"Joan Güell",41.384391,2.130637,,2,P.6660317,2
P.6660317,,"Les Corts",41.38412,2.130871,,1,,
1.318,318,"Plaça del Centre",41.381922,2.135884,,0,P.6660318,1
E.31801,,"Plaça del Centre (mar)",41.38167,2.135925,,2,P.6660318,1
E.31802,,"Plaça del Centre (muntanya)",41.382112,2.135628,,2,P.6660318,2
P.6660318,,"Plaça del Centre",41.381922,2.135884,,1,,
1.319,319,"Sants Estació",41.381598,2.140992,,0,P.6660319,1
1.518,518,"Sants Estació",41.379955,2.140398,,0,P.6660319,1
E.31901,,"Pl. Països Catalans / Numància / Ambulatori",41.380946,2.141664,,2,P.6660319,1
E.31902,,"Av. Josep Tarradellas",41.381082,2.14198,,2,P.6660319,2
E.31911,,"Numància",41.382392,2.140153,,2,P.6660319,2
E.31912,,"Enric Bargés",41.382072,2.139964,,2,P.6660319,2
E.51801,,"Estació RENFE / Pl. Joan Peiró",41.37951,2.139573,,2,P.6660319,1
E.51802,,"Estació RENFE / Pl. Països Catalans",41.37972,2.139923,,2,P.6660319,1
P.6660319,,"Sants Estació",41.381598,2.140992,,1,,
1.320,320,"Tarragona",41.378493,2.145336,,0,P.6660320,1
E.32001,,"Elisi",41.378615,2.144759,,2,P.6660320,2
E.32002,,"València",41.378898,2.145125,,2,P.6660320,2
E.32003,,"Tarragona",41.377859,2.145762,,2,P.6660320,2
E.32004,,"Aragó",41.378245,2.146084,,2,P.6660320,1
P.6660320,,"Tarragona",41.378493,2.145336,,1,,
1.322,322,"Poble Sec",41.374996,2.160245,,0,P.6660322,1
E.32201,,"Manso",41.375149,2.158911,,2,P.6660322,1
E.32202,,"Teodor Bonaplata",41.374874,2.158953,,2,P.6660322,2
E.32211,,"Parlament",41.375117,2.161354,,2,P.6660322,2
P.6660322,,"Poble Sec",41.374996,2.160245,,1,,
1.324,324,"Drassanes",41.376538,2.175664,,0,P.6660324,1
E.32401,,"La Rambla",41.376946,2.176522,,2,P.6660324,1
E.32403,,"Santa Madrona",41.37708,2.175961,,2,P.6660324,2
E.32411,,"Drassanes",41.376587,2.175559,,2,P.6660324,1
P.6660324,,"Drassanes",41.376538,2.175664,,1,,
1.325,325,"Liceu",41.381445,2.17303,,0,P.6660325,1
E.32501,,"La Rambla / Mercat de la Boqueria",41.38202,2.172469,,2,P.6660325,2
E.32511,,"La Rambla / Mercat de la Boqueria",41.382015,2.172621,,2,P.6660325,2
E.32521,,"La Rambla / Teatre Liceu",41.380925,2.173559,,2,P.6660325,1
E.32531,,"La Rambla / Teatre Liceu",41.380864,2.173445,,2,P.6660325,1
P.6660325,,"Liceu",41.381445,2.17303,,1,,
1.328,328,"Diagonal",41.395888,2.160047,,0,P.6660328,1
1.521,521,"Diagonal",41.394435,2.15883,,0,P.6660328,1
E.32801,,"Pg. de Gràcia / Rambla Catalunya",41.395436,2.160638,,2,P.6660328,1
E.32802,,"Pg. de Gràcia / Pau Claris ",41.395636,2.160807,,2,P.6660328,2
E.32803,,"Pg. de Gràcia (escala mecànica)",41.39536,2.160571,,2,P.6660328,2
E.32811,,"Diagonal / Rambla Catalunya",41.396072,2.159861,,2,P.6660328,2
E.32812,,"Diagonal / Pau Claris",41.396216,2.160104,,2,P.6660328,2
E.52101,,"Rambla Catalunya",41.39441,2.159101,,2,P.6660328,2
E.52111,,"Rosselló / FGC",41.394246,2.15888,,2,P.6660328,1
P.6660328,,"Diagonal",41.394435,2.15883,,1,,
1.329,329,"Fontana",41.402009,2.153022,,0,P.6660329,1
E.32901,,"Gran de Gràcia / Astúries",41.402585,2.152678,,2,P.6660329,1
P.6660329,,"Fontana",41.402009,2.153022,,1,,
1.330,330,"Lesseps",41.405738,2.150407,,0,P.6660330,1
E.33001,,"Septimània",41.406206,2.149611,,2,P.6660330,2
E.33011,,"Plaça Lesseps",41.406674,2.150221,,2,P.6660330,1
P.6660330,,"Lesseps",41.405738,2.150407,,1,,
1.331,331,"Vallcarca",41.411975,2.144337,,0,P.6660331,2
E.33101,,"Avinguda República Argentina",41.41141,2.145043,,2,P.6660331,2
E.33102,,"Gomis",41.411782,2.144553,,2,P.6660331,2
E.33103,,"Avinguda Vallcarca + Parc Güell",41.411696,2.145265,,2,P.6660331,2
P.6660331,,"Vallcarca",41.411975,2.144337,,1,,
1.332,332,"Penitents",41.418279,2.140972,,0,P.6660332,1
E.33201,,"Avinguda Vallcarca",41.417503,2.141275,,2,P.6660332,2
E.33202,,"Anna Piferrer",41.417387,2.140955,,2,P.6660332,1
P.6660332,,"Penitents",41.418279,2.140972,,1,,
1.333,333,"Vall d'Hebron",41.425283,2.142565,,0,P.6660333,1
1.534,534,"Vall d'Hebron",41.424993,2.142356,,0,P.6660333,1
E.33301,,"Mercat de Vall d'Hebron",41.424868,2.142964,,2,P.6660333,1
E.53401,,"Residència Sanitària",41.425372,2.142157,,2,P.6660333,1
E.53402,,"Avinguda Jordà",41.424675,2.141714,,2,P.6660333,2
P.6660333,,"Vall d'Hebron",41.425283,2.142565,,1,,
1.334,334,"Montbau",41.43062,2.145039,,0,P.6660334,1
E.33401,,"Parc Vall d'Hebron",41.430314,2.145367,,2,P.6660334,2
E.33402,,"Residència Sanitària / Llars Mundet",41.430418,2.144552,,2,P.6660334,1
E.33403,,"Palau  Olímpic Vall d'Hebron",41.430504,2.145485,,2,P.6660334,1
P.6660334,,"Montbau",41.43062,2.145039,,1,,
1.335,335,"Mundet",41.435645,2.148472,,0,P.6660335,1
E.33501,,"Can Marcet",41.434953,2.148089,,2,P.6660335,1
E.33502,,"Salesians",41.435344,2.148425,,2,P.6660335,1
E.33503,,"Passeig Vall d'Hebron",41.435537,2.147228,,2,P.6660335,1
P.6660335,,"Mundet",41.435645,2.148472,,1,,
1.336,336,"Valldaura",41.437996,2.156878,,0,P.6660336,1
E.33601,,"Passeig Valldaura",41.437621,2.156426,,2,P.6660336,1
P.6660336,,"Valldaura",41.437996,2.156878,,1,,
1.337,337,"Canyelles",41.441754,2.166388,,0,P.6660337,1
E.33701,,"Via Favència",41.441933,2.166593,,2,P.6660337,1
E.33711,,"García Lorca",41.441695,2.165188,,2,P.6660337,2
P.6660337,,"Canyelles",41.441754,2.166388,,1,,
1.338,338,"Roquetes",41.44767,2.176098,,0,P.6660338,1
E.33801,,"Vidal i Guasch",41.448091,2.177066,,2,P.6660338,1
E.33811,,"Jaume Pinent",41.446849,2.174878,,2,P.6660338,1
E.33812,,"Carrer de les Torres",41.446928,2.176081,,2,P.6660338,2
P.6660338,,"Roquetes",41.44767,2.176098,,1,,
1.339,339,"Trinitat Nova",41.4495,2.184097,,0,P.6660339,1
1.434,434,"Trinitat Nova",41.449156,2.182434,,0,P.6660339,1
1.1136,1136,"Trinitat Nova",41.4492,2.182366,,0,P.6660339,1
E.33901,,"Palamós",41.449421,2.184347,,2,P.6660339,1
E.43401,,"Pedrosa",41.449209,2.183288,,2,P.6660339,1
E.43402,,"Aiguablava",41.448659,2.181714,,2,P.6660339,2
P.6660339,,"Trinitat Nova",41.4495,2.184097,,1,,
1.414,414,"Besòs",41.419901,2.210231,,0,P.6660414,1
E.41401,,"Jaume Fabre",41.42034,2.210283,,2,P.6660414,2
E.41402,,"Gran Via / Pere IV",41.420264,2.209848,,2,P.6660414,1
P.6660414,,"Besòs",41.419901,2.210231,,1,,
1.415,415,"Besòs Mar",41.415099,2.216082,,0,P.6660415,1
E.41501,,"Jaume Fabre",41.414531,2.216678,,2,P.6660415,1
E.41511,,"Ferrer Bassa",41.415684,2.215414,,2,P.6660415,2
P.6660415,,"Besòs Mar",41.415099,2.216082,,1,,
1.416,416,"El Maresme | Fòrum",41.41178,2.216692,,0,P.6660416,1
E.41601,,"Rambla de Prim",41.412209,2.217577,,2,P.6660416,1
E.41611,,"Avinguda Diagonal",41.411733,2.216063,,2,P.6660416,2
P.6660416,,"El Maresme | Fòrum",41.41178,2.216692,,1,,
1.417,417,"Selva de Mar",41.408001,2.209122,,0,P.6660417,1
E.41701,,"Selva de Mar",41.408214,2.209567,,2,P.6660417,2
E.41711,,"Provençals",41.407773,2.208358,,2,P.6660417,1
P.6660417,,"Selva de Mar",41.408001,2.209122,,1,,
1.418,418,"Poblenou",41.403716,2.203371,,0,P.6660418,1
E.41801,,"Pujades / Bilbao",41.403511,2.202941,,2,P.6660418,1
P.6660418,,"Poblenou",41.403716,2.203371,,1,,
1.419,419,"Llacuna",41.399425,2.197712,,0,P.6660419,1
E.41901,,"Pujades / Ciutat de Granada",41.399208,2.197267,,2,P.6660419,1
